date,volume
12/10/1983,472617600
13-10-1983,420515200
14-10-1983,279260800
17-10-1983,219116800
18-10-1983,382972800
19-10-1983,287392000
20-10-1983,131689600
21-10-1983,157001600
24-10-1983,259392000
25-10-1983,168448000
26-10-1983,128912000
27-10-1983,97843200
28-10-1983,81200000
31-10-1983,173174400
1/11/1983,328384000
2/11/1983,202473600
3/11/1983,286003200
4/11/1983,146742400
7/11/1983,152118400
8/11/1983,1221516800
9/11/1983,353472000
10/11/1983,222073600
11/11/1983,116032000
14-11-1983,108281600
15-11-1983,118630400
16-11-1983,102278400
17-11-1983,90384000
18-11-1983,79900800
21-11-1983,105011200
22-11-1983,105190400
23-11-1983,114352000
25-11-1983,37296000
28-11-1983,72396800
29-11-1983,95289600
30-11-1983,64332800
1/12/1983,76675200
2/12/1983,85366400
5/12/1983,45158400
6/12/1983,51990400
7/12/1983,89152000
8/12/1983,137625600
9/12/1983,82768000
12/12/1983,65139200
13-12-1983,197545600
14-12-1983,201891200
15-12-1983,316601600
16-12-1983,184867200
19-12-1983,173600000
20-12-1983,177744000
21-12-1983,171785600
22-12-1983,130547200
23-12-1983,48563200
27-12-1983,96432000
28-12-1983,128553600
29-12-1983,102748800
30-12-1983,91862400
3/1/1984,150192000
4/1/1984,292611200
5/1/1984,305715200
6/1/1984,168492800
9/1/1984,215734400
10/1/1984,172188800
11/1/1984,175952000
12/1/1984,110342400
13-01-1984,121744000
16-01-1984,137580800
17-01-1984,149072000
18-01-1984,220505600
19-01-1984,149721600
20-01-1984,141344000
23-01-1984,278364800
24-01-1984,320230400
25-01-1984,263872000
26-01-1984,168492800
27-01-1984,194096000
30-01-1984,277468800
31-01-1984,345094400
1/2/1984,163116800
2/2/1984,134915200
3/2/1984,145488000
6/2/1984,165558400
7/2/1984,217728000
8/2/1984,148220800
9/2/1984,234796800
10/2/1984,143964800
13-02-1984,105728000
14-02-1984,209059200
15-02-1984,200838400
16-02-1984,105235200
17-02-1984,134646400
21-02-1984,120288000
22-02-1984,223372800
23-02-1984,155052800
24-02-1984,77817600
27-02-1984,121564800
28-02-1984,169926400
29-02-1984,134041600
1/3/1984,132361600
2/3/1984,191251200
5/3/1984,73606400
6/3/1984,98985600
7/3/1984,96566400
8/3/1984,129785600
9/3/1984,66057600
12/3/1984,125036800
13-03-1984,152880000
14-03-1984,59606400
15-03-1984,55283200
16-03-1984,124700800
19-03-1984,82588800
20-03-1984,100531200
21-03-1984,47667200
22-03-1984,51184000
23-03-1984,61129600
26-03-1984,56963200
27-03-1984,99299200
28-03-1984,75488000
29-03-1984,39177600
30-03-1984,45740800
2/4/1984,54656000
3/4/1984,44105600
4/4/1984,107676800
5/4/1984,82812800
6/4/1984,85590400
9/4/1984,54252800
10/4/1984,57097600
11/4/1984,70604800
12/4/1984,78400000
13-04-1984,103398400
16-04-1984,68118400
17-04-1984,332953600
18-04-1984,199673600
19-04-1984,123401600
23-04-1984,293865600
24-04-1984,281568000
25-04-1984,194880000
26-04-1984,318505600
27-04-1984,371996800
30-04-1984,293148800
1/5/1984,406515200
2/5/1984,317318400
3/5/1984,327420800
4/5/1984,260444800
7/5/1984,160070400
8/5/1984,255001600
9/5/1984,405014400
10/5/1984,238627200
11/5/1984,197724800
14-05-1984,89286400
15-05-1984,102704000
16-05-1984,219721600
17-05-1984,281948800
18-05-1984,193468800
21-05-1984,435052800
22-05-1984,301257600
23-05-1984,168963200
24-05-1984,193312000
25-05-1984,120108800
29-05-1984,156262400
30-05-1984,318438400
31-05-1984,167014400
1/6/1984,242300800
4/6/1984,148288000
5/6/1984,328428800
6/6/1984,161459200
7/6/1984,102547200
8/6/1984,108976000
11/6/1984,84246400
12/6/1984,117129600
13-06-1984,115718400
14-06-1984,100956800
15-06-1984,89779200
18-06-1984,114598400
19-06-1984,160944000
20-06-1984,119526400
21-06-1984,141904000
22-06-1984,84604800
25-06-1984,167484800
26-06-1984,148646400
27-06-1984,377283200
28-06-1984,118316800
29-06-1984,141993600
2/7/1984,159667200
3/7/1984,179065600
5/7/1984,93184000
6/7/1984,95648000
9/7/1984,190668800
10/7/1984,172300800
11/7/1984,121094400
12/7/1984,168694400
13-07-1984,135945600
16-07-1984,202988800
17-07-1984,84851200
18-07-1984,104025600
19-07-1984,77907200
20-07-1984,33174400
23-07-1984,94035200
24-07-1984,179244800
25-07-1984,200457600
26-07-1984,143337600
27-07-1984,73942400
30-07-1984,125036800
31-07-1984,199628800
1/8/1984,285734400
2/8/1984,303676800
3/8/1984,618060800
6/8/1984,626796800
7/8/1984,332483200
8/8/1984,294403200
9/8/1984,257622400
10/8/1984,397376000
13-08-1984,241449600
14-08-1984,174070400
15-08-1984,178886400
16-08-1984,144816000
17-08-1984,153932800
20-08-1984,138454400
21-08-1984,179536000
22-08-1984,220416000
23-08-1984,83417600
24-08-1984,70896000
27-08-1984,87673600
28-08-1984,59158400
29-08-1984,74121600
30-08-1984,50960000
31-08-1984,137849600
4/9/1984,119840000
5/9/1984,103756800
6/9/1984,130972800
7/9/1984,83260800
10/9/1984,64624000
11/9/1984,152387200
12/9/1984,133123200
13-09-1984,207334400
14-09-1984,246870400
17-09-1984,192752000
18-09-1984,97305600
19-09-1984,106288000
20-09-1984,66169600
21-09-1984,99836800
24-09-1984,79004800
25-09-1984,166790400
26-09-1984,110969600
27-09-1984,105929600
28-09-1984,233408000
1/10/1984,97776000
2/10/1984,118249600
3/10/1984,120422400
4/10/1984,125484800
5/10/1984,97574400
8/10/1984,46972800
9/10/1984,125260800
10/10/1984,364851200
11/10/1984,182761600
12/10/1984,265798400
15-10-1984,243264000
16-10-1984,118025600
17-10-1984,156643200
18-10-1984,247161600
19-10-1984,326121600
22-10-1984,114755200
23-10-1984,186435200
24-10-1984,167014400
25-10-1984,158166400
26-10-1984,114844800
29-10-1984,50646400
30-10-1984,74592000
31-10-1984,60233600
1/11/1984,47040000
2/11/1984,27686400
5/11/1984,105369600
6/11/1984,225321600
7/11/1984,231548800
8/11/1984,88121600
9/11/1984,294134400
12/11/1984,113254400
13-11-1984,126672000
14-11-1984,104339200
15-11-1984,106601600
16-11-1984,165760000
19-11-1984,232982400
20-11-1984,263244800
21-11-1984,178729600
23-11-1984,137088000
26-11-1984,100643200
27-11-1984,127411200
28-11-1984,410524800
29-11-1984,174876800
30-11-1984,108707200
3/12/1984,98000000
4/12/1984,120377600
5/12/1984,262908800
6/12/1984,317273600
7/12/1984,494524800
10/12/1984,111484800
11/12/1984,123782400
12/12/1984,110073600
13-12-1984,66841600
14-12-1984,96140800
17-12-1984,125238400
18-12-1984,340569600
19-12-1984,317497600
20-12-1984,139843200
21-12-1984,123894400
24-12-1984,67536000
26-12-1984,67177600
27-12-1984,98761600
28-12-1984,165334400
31-12-1984,207760000
2/1/1985,175302400
3/1/1985,166611200
4/1/1985,137267200
7/1/1985,170912000
8/1/1985,141120000
9/1/1985,166723200
10/1/1985,277065600
11/1/1985,205049600
14-01-1985,270435200
15-01-1985,264969600
16-01-1985,189884800
17-01-1985,547523200
18-01-1985,352665600
21-01-1985,325427200
22-01-1985,424838400
23-01-1985,430505600
24-01-1985,397062400
25-01-1985,318460800
28-01-1985,412182400
29-01-1985,223731200
30-01-1985,492441600
31-01-1985,276236800
1/2/1985,137737600
4/2/1985,218019200
5/2/1985,190041600
6/2/1985,194432000
7/2/1985,245481600
8/2/1985,132025600
11/2/1985,346953600
12/2/1985,226508800
13-02-1985,527027200
14-02-1985,426832000
15-02-1985,173622400
19-02-1985,149833600
20-02-1985,219968000
21-02-1985,308224000
22-02-1985,226531200
25-02-1985,98537600
26-02-1985,188966400
27-02-1985,403580800
28-02-1985,319065600
1/3/1985,247430400
4/3/1985,153104000
5/3/1985,130771200
